url_base,url_page,page,location,title,link,description,area_m2,n_rooms,n_floor,price_per_m2
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 małopolskie","Nowe mieszkanie Kraków, ul. Borowego",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-ul-borowego/ob/23636851,,97.70,5,1,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 małopolskie","Nowe mieszkanie Kraków, ul. Borowego",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-ul-borowego/ob/23636905,,58.43,3,3,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 małopolskie",Nowe mieszkanie Kraków,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow/ob/25321431,,72.68,3,2,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 małopolskie","Nowe mieszkanie Kraków, ul. Borowego",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-ul-borowego/ob/23636913,,35.40,1,0,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 małopolskie","Nowe mieszkanie Kraków, ul. Facimiech",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-ul-facimiech/ob/25557719,,61.99,3,,11082zł/m2
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Grzegórzki,                                 małopolskie","Nowe mieszkanie Kraków Grzegórzki, ul. Świtezianki 2",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-grzegorzki-ul-switezianki-2/ob/25556591,,53.29,2,,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Podgórze,                                 małopolskie","Nowe mieszkanie Kraków Podgórze, ul. Jerozolimska",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-jerozolimska/ob/25555761,,46.84,2,1,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Stare Miasto,                                 małopolskie","Nowe mieszkanie Kraków Stare Miasto, ul. Śliczna",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-stare-miasto-ul-sliczna/ob/23621835,,120.84,4,3,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Podgórze,                                 małopolskie","Nowe mieszkanie Kraków Podgórze, ul. Jerozolimska",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-jerozolimska/ob/25555805,,47.33,2,3,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Podgórze,                                 małopolskie","Nowe mieszkanie Kraków Podgórze, ul. Jerozolimska",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-jerozolimska/ob/25640537,,51.69,2,5,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Podgórze,                                 małopolskie","Nowe mieszkanie Kraków Podgórze, ul. Jerozolimska",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-jerozolimska/ob/25555817,,47.21,2,6,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Podgórze,                                 małopolskie","Nowe mieszkanie Kraków Podgórze, ul. Jerozolimska",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-podgorze-ul-jerozolimska/ob/25555755,,47.37,2,1,
https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny,https://gratka.pl/nieruchomosci/mieszkania/krakow/pierwotny?page=1,1,"Kraków,                                 Grzegórzki,                                 małopolskie","Nowe mieszkanie Kraków Grzegórzki, ul. Świtezianki 2",https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-grzegorzki-ul-switezianki-2/ob/25556589,,37.49,1,,
